iter	Logloss
0	0.6810683867
1	0.6704454532
2	0.6615949206
3	0.6539660512
4	0.6479342675
5	0.6422481866
6	0.6378910215
7	0.6342181402
8	0.631016
9	0.6290197006
10	0.6267426043
11	0.6245796515
12	0.6229299019
13	0.621125895
14	0.6195871322
15	0.6180296599
16	0.6165216562
17	0.615479774
18	0.6144907481
19	0.6134396266
20	0.6122139212
21	0.6117023734
22	0.6109760894
23	0.6101806648
24	0.609693678
25	0.6090776493
26	0.608469936
27	0.6079302854
28	0.6075252586
29	0.6070096686
30	0.6063400136
31	0.6056018726
32	0.6053612279
33	0.6049933123
34	0.6045697685
35	0.604118199
36	0.6036814507
37	0.6032297657
38	0.60291282
39	0.6023640456
40	0.6019648704
41	0.6016001885
42	0.6012641099
43	0.6009607152
44	0.6006695241
45	0.6004232204
46	0.6002227666
47	0.599950208
48	0.5994445887
49	0.5989521738
50	0.5986350742
51	0.5982522602
52	0.5978398036
53	0.5975077672
54	0.5972772472
55	0.5968608254
56	0.5966074383
57	0.596375186
58	0.5961296523
59	0.5956693439
60	0.5953901638
61	0.5951612608
62	0.5948949772
63	0.5945065426
64	0.5943651432
65	0.5941697711
66	0.5939955337
67	0.593864413
68	0.5935885437
69	0.5934343633
70	0.5932284814
71	0.5930465832
72	0.592781031
73	0.5925088959
74	0.5923162955
75	0.5922009585
76	0.5920134398
77	0.591717321
78	0.5914172755
79	0.5912794563
80	0.5910687239
81	0.5909360633
82	0.5907389973
83	0.5906173083
84	0.5903880203
85	0.5901204278
86	0.5898698125
87	0.5896717455
88	0.5894588957
89	0.5892036607
90	0.5889339124
91	0.5887342286
92	0.5884656351
93	0.5883329745
94	0.5881760994
95	0.5878332837
96	0.5876622802
97	0.5874783801
98	0.5873821376
99	0.5872652223
100	0.5870803213
101	0.586874863
102	0.5866719454
103	0.5863738633
104	0.5862263813
105	0.5859128619
106	0.5858056093
107	0.5856868847
108	0.585472649
109	0.5853674752
110	0.5852285781
111	0.5851188617
112	0.5849896659
113	0.5847844
114	0.5845266627
115	0.5843125425
116	0.5841144755
117	0.5839794281
118	0.5835966142
119	0.5834361203
120	0.5832859436
121	0.5830501111
122	0.5828187827
123	0.5827084889
124	0.5824870542
125	0.5822959167
126	0.5819701553
127	0.581839766
128	0.5816816204
129	0.5814212269
130	0.5812391746
131	0.5809618809
132	0.5807160007
133	0.5804356657
134	0.5802310543
135	0.5800042685
136	0.579731325
137	0.57942512
138	0.5793418125
139	0.5792728259
140	0.5791415127
141	0.5789194622
142	0.5788261455
143	0.5785742213
144	0.5784563435
145	0.5783432009
146	0.578118263
147	0.5779881047
148	0.5778861647
149	0.5777493465
150	0.5776186107
151	0.5774357886
152	0.5772299452
153	0.5770646392
154	0.5767462692
155	0.5766329341
156	0.5763880933
157	0.5762149339
158	0.5760479725
159	0.5759409509
160	0.5757369554
161	0.5756511071
162	0.5755067049
163	0.5753450561
164	0.5751587307
165	0.5750354249
166	0.5747893907
167	0.5745516719
168	0.5744603955
169	0.5743850954
170	0.5741533436
171	0.573945075
172	0.5737767662
173	0.573556525
174	0.573390372
175	0.5732316105
176	0.572900036
177	0.5727409665
178	0.5726498056
179	0.572492353
180	0.5723477968
181	0.5722205258
182	0.5721322907
183	0.5718666616
184	0.5717458965
185	0.5716231682
186	0.5715564529
187	0.5713987308
188	0.5712955204
189	0.5711624363
190	0.570822123
191	0.5707165643
192	0.5705278906
193	0.5703759045
194	0.57018546
195	0.5700329349
196	0.5698323272
197	0.5696718333
198	0.5694977499
199	0.5693337913
